facultyId	totalNoOfJobs	totalAmount	year
58697	14	165200	2023-24
58824	183	14670752	2023-24
58700	22	5503206	2023-24
58699	58	7423780	2023-24
58689	46	7083009	2023-24
58693	139	7575600	2023-24
58690	100	11291116	2023-24
58695	30	6431000	2023-24
58696	10	991200	2023-24
58698	24	2579775	2023-24
58818	8	342200	2023-24
58702	9	981760	2023-24
58857	19	2194800	2023-24
58863	3	88500	2023-24
58831	22	443680	2023-24
58775	28	480260	2023-24
58781	10	119180	2023-24
58809	5	209450	2023-24
58717	1	236000	2023-24
58798	1	23600	2023-24
58697	18	212400	2024-25
58824	154	12500063	2024-25
58700	9	5599100	2024-25
58699	61	7636960	2024-25
58689	35	2407200	2024-25
58693	109	5479920	2024-25
58690	70	8392536	2024-25
58695	13	1954300	2024-25
58698	39	1803630	2024-25
58818	6	295000	2024-25
58702	5	159300	2024-25
58857	44	3626960	2024-25
58863	42	782340	2024-25
58691	4	306800	2024-25
58703	1	236000	2024-25
58696	1	11800	2024-25
58831	11	138060	2024-25
58775	35	923940	2024-25
58781	9	165200	2024-25
58747	4	153400	2024-25
58795	1	17700	2024-25
58717	1	295000	2024-25
58722	2	118000	2024-25
58798	1	147500	2024-25